"operation_Name","count_total"
"managements-cnhi-myiveco-portal-2-0;rev=1 - getFleetDetails",262
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-getdashboardfilters-lang-lang-dashboardid-dashboardid",2678
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardall-getdashboarddescriptor-lang-lang-dashboardid-dashboardi",2667
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardall-getdashboarddescriptor-lang-lang-dashboardid-dashboardi",2660
"acl-cnhi-myiveco-portal-2-0;rev=1 - validateAndUpdateCompany",3009
"acl-cnhi-myiveco-portal-2-0;rev=1 - getDealersHQWithExtendedHQ",274
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-monitoredvehicles-lang-lang-fleetid-fleetid-start-sta",566
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-monitoredvehicles-lang-lang-fleetid-fleetid-start-sta",562
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-overview-lang-lang-start-start-end-end-period-period",2191
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-fuelconsumption-lang-lang-start-start-end-end-period",2277
"MyIvecoApiTranslator-B2C;rev=1 - checkOnline",5206
"contracts-cnhi-myiveco-portal-2-0;rev=1 - getSkaList",987
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-fuelconsumption-lang-lang-start-start-end-end-period",2276
"MyIvecoApiTranslatorRoot-B2C;rev=1 - checkOnline",5321
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-overview-lang-lang-start-start-end-end-period-period",2191
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-getvehiclestripdates-lang-lang",1969
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardlight-co2emission-lang-lang-start-start-end-end-period-per",2166
"contracts-cnhi-myiveco-portal-2-0;rev=1 - createSkaHomeDealerAssociation",590
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-co2emission-lang-lang-start-start-end-end-period-per",2168
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-catalogs-id-discounts",408
"wdg-cnhi-myiveco-portal-2-0;rev=1 - get-widgets-id-vehicles-vehicle-id",1340
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardlight-getvehiclestripdates-lang-lang",1974
"MyIvecoApiTranslator-B2C;rev=1 - 60f0733f10ffdc9a74ac51d2",482
"MyIvecoApiTranslator-B2C;rev=1 - startPairingProcess",2550
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-co2emission-lang-lang-fleetid-fleetid-start-start-end",856
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-overview-lang-lang-fleetid-fleetid-start-start-end-en",858
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-dsefuelsaving-lang-lang",714
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-fuelconsumption-lang-lang-fleetid-fleetid-start-start",997
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-dsefuelsaving-lang-lang",715
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-vehiclespositionsfilters-lang-lang-fleetid-fleetid-st",845
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-co2emission-lang-lang-fleetid-fleetid-start-start-end",856
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-fuelconsumption-lang-lang-fleetid-fleetid-start-start",998
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-vehiclespositionsfilters-lang-lang-fleetid-fleetid-st",845
"MyIvecoApiTranslatorRoot-B2C;rev=1 - startPairingProcess",2554
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-overview-lang-lang-fleetid-fleetid-start-start-end-en",857
"MyIvecoApiTranslatorRoot-B2C;rev=1 - 60ffd481cc90b62d0fa96205",740
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-yourtrips-lang-lang",567
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-yourtrips-lang-lang",566
"wdg-cnhi-myiveco-portal-2-0;rev=1 - post-widgets-id-drivers",210
"managements-cnhi-myiveco-portal-2-0;rev=1 - getVehicleById",334
"MyIvecoApiTranslator-B2C;rev=1 - 60fac22b82dd37f05c15a5fb",737
"wdg-cnhi-myiveco-portal-2-0;rev=1 - exportWidgetsIdData",2469
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsBackToDraftPut",232
"wdg-cnhi-myiveco-portal-2-0;rev=1 - getSummaryForTrip",751
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-gettripdatebyvehicleid-lang-lang-vin-vin-period-perio",450
"MyIvecoApiTranslatorRoot-B2C;rev=1 - stopPairingProcess",2033
"wdg-cnhi-myiveco-portal-2-0;rev=1 - post-widgets-id-vehicles",250
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-gettrippositionbyvehicleid-lang-lang-vin-vin-period-p",435
"MyIvecoApiTranslatorRoot-B2C;rev=1 - post-api-dashboardheavy-updatewidgetvehicles-lang-lang",61
"contracts-cnhi-myiveco-portal-2-0;rev=1 - contractsApprovalPut",1841
"MyIvecoApiTranslator-B2C;rev=1 - stopPairingProcess",2032
"MyIvecoApiTranslator-B2C;rev=1 - get-api-app-v1-getlanguages-lang-lang",621
"MyIvecoApiTranslator-B2C;rev=1 - post-api-dashboardheavy-updatewidgetvehicles-lang-lang",61
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-app-v1-getlanguages-lang-lang",619
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-gettripdatebyvehicleid-lang-lang-vin-vin-period-perio",449
"acl-cnhi-myiveco-portal-2-0;rev=1 - updateCompanyWithSapDataById",541
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardlight-gettrippositionbyvehicleid-lang-lang-vin-vin-period-p",434
"acl-cnhi-myiveco-portal-2-0;rev=1 - createDealersHQ",6
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardlight-dselight-lang-lang",402
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-vehiclespositionspoints-vin-vin-start-start-end-end-p",54
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-driverranking-lang-lang-fleetid-fleetid-start-start-e",184
"managements-cnhi-myiveco-portal-2-0;rev=1 - updateVehicleStatusgg",404
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-vehicleranking-lang-lang-fleetid-fleetid-start-start",184
"contracts-cnhi-myiveco-portal-2-0;rev=1 - get-exports-daily-contracts-filename-download",210
"MyIvecoApiTranslatorRoot-B2C;rev=1 - get-api-dashboardheavy-drivervehicleranking-lang-lang",180
"MyIvecoApiTranslator-B2C;rev=1 - get-api-dashboardheavy-driverranking-lang-lang-fleetid-fleetid-start-start-e",184
